global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,2.1243066787719727,2.1378910541534424,0.07870370149612427,0.07323817163705826,0.07323817163705826,216.0,216.0,16.0,2.0179858207702637,2.092437267303467,0.08771930634975433,0.07848569005727768,0.07848569005727768,57.0,57.0,16.0,0.19854062795639038,0.18510304391384125,0.9729729890823364,0.9203798174858093,0.9203798174858093,37.0,37.0,15.0,0.2628738582134247,0.26917764544487,0.9207920432090759,0.8797666430473328,0.8797666430473328,202.0,202.0,16.0,1.2389103174209595,1.2389100790023804,0.4765625,186715.96875,0.0,0.0
2,31,2.191208600997925,2.1985726356506348,0.0952381119132042,0.09070296585559845,0.09070296585559845,210.0,210.0,16.0,2.1079154014587402,2.162862777709961,0.04000000283122063,0.03760000318288803,0.03760000318288803,50.0,50.0,16.0,0.24236087501049042,0.21578826010227203,0.918367326259613,0.8433985710144043,0.8433985710144043,49.0,49.0,16.0,0.2426370233297348,0.24409036338329315,0.9261084794998169,0.8576768040657043,0.8576768040657043,203.0,203.0,16.0,1.2239855527877808,1.2239854335784912,0.4980469048023224,186715.96875,0.0,0.0
3,47,2.279946804046631,2.244853973388672,0.07906976342201233,0.0731855034828186,0.0731855034828186,215.0,215.0,16.0,1.9892644882202148,1.8925813436508179,0.0625000074505806,0.0546875074505806,0.0546875074505806,48.0,48.0,16.0,0.20005209743976593,0.18966969847679138,0.9591838121414185,0.9004582762718201,0.9004582762718201,49.0,49.0,15.0,0.24117746949195862,0.23681855201721191,0.940000057220459,0.9071000218391418,0.9071000218391418,200.0,200.0,16.0,1.257248878479004,1.2572486400604248,0.4980469346046448,186715.96875,0.0,0.0
4,63,2.010446548461914,2.0130228996276855,0.06878306716680527,0.06332409381866455,0.06332409381866455,189.0,189.0,16.0,1.9522407054901123,2.215667486190796,0.09836065769195557,0.09513571858406067,0.09513571858406067,61.0,61.0,16.0,0.16995498538017273,0.1699901819229126,0.9636363983154297,0.9110743999481201,0.9110743999481201,55.0,55.0,16.0,0.322888046503067,0.3042089641094208,0.8743962049484253,0.8237065672874451,0.8237065672874451,207.0,207.0,16.0,1.123528242111206,1.123528242111206,0.4941406548023224,186715.96875,0.0,0.0
5,79,1.6416950225830078,1.7262890338897705,0.16499999165534973,0.15262499451637268,0.15262499451637268,200.0,200.0,16.0,1.9167977571487427,2.0184648036956787,0.11320756375789642,0.10893558710813522,0.10893558710813522,53.0,53.0,15.0,0.30987462401390076,0.2598907947540283,0.8548387289047241,0.8134755492210388,0.8134755492210388,62.0,62.0,15.0,0.3212427794933319,0.29979491233825684,0.8781725168228149,0.8246797919273376,0.8246797919273376,197.0,197.0,16.0,1.0008326768875122,1.0008326768875122,0.517578125,186715.953125,0.0,0.0
6,95,1.3490018844604492,1.4092220067977905,0.23645322024822235,0.22247567772865295,0.22247567772865295,203.0,203.0,16.0,1.387611985206604,1.4449776411056519,0.2586206793785095,0.23186682164669037,0.23186682164669037,58.0,58.0,15.0,0.35830336809158325,0.3328593671321869,0.8400000333786011,0.8232000470161438,0.8232000470161438,50.0,50.0,15.0,0.47188273072242737,0.4477916359901428,0.7960198521614075,0.7445359826087952,0.7445359826087952,201.0,201.0,16.0,0.9122900366783142,0.9122899770736694,0.517578125,186715.953125,0.0,0.0
7,111,1.0451774597167969,1.0997753143310547,0.38967135548591614,0.3695474863052368,0.3695474863052368,213.0,213.0,16.0,1.059067964553833,1.1463075876235962,0.36538463830947876,0.3513313829898834,0.3513313829898834,52.0,52.0,16.0,0.4173908829689026,0.4232350289821625,0.8085107207298279,0.7397013306617737,0.7397013306617737,47.0,47.0,16.0,0.6324877738952637,0.6150273084640503,0.6800001263618469,0.6290001273155212,0.6290001273155212,200.0,200.0,16.0,0.8277524709701538,0.8277524709701538,0.5390625596046448,186715.9375,0.0,0.0
8,127,0.6689594984054565,0.7672939300537109,0.6515151262283325,0.6186103224754333,0.6186103224754333,198.0,198.0,16.0,0.8905441164970398,0.8234239220619202,0.5102040767669678,0.4581424295902252,0.4581424295902252,49.0,49.0,15.0,0.7627236247062683,0.6629350185394287,0.5272727012634277,0.5080991387367249,0.5080991387367249,55.0,55.0,16.0,0.7292288541793823,0.6957787275314331,0.5761905312538147,0.5350340604782104,0.5350340604782104,210.0,210.0,16.0,0.724958062171936,0.7249580025672913,0.59375,186715.9375,0.0,0.0
9,143,0.37545526027679443,0.4280671179294586,0.8348214626312256,0.7751913070678711,0.7751913070678711,224.0,224.0,16.0,0.5560113787651062,0.5707031488418579,0.725490152835846,0.6828142404556274,0.6828142404556274,51.0,51.0,16.0,1.2024433612823486,1.1115483045578003,0.37254905700683594,0.3506343960762024,0.3506343960762024,51.0,51.0,16.0,1.0113199949264526,0.9547191262245178,0.397849440574646,0.37645968794822693,0.37645968794822693,186.0,186.0,16.0,0.7068137526512146,0.7068138122558594,0.619140625,186715.9375,0.0,0.0
10,159,0.21909070014953613,0.2575419843196869,0.9408867359161377,0.9084423780441284,0.9084423780441284,203.0,203.0,16.0,0.40685588121414185,0.40006718039512634,0.7843137979507446,0.6920415759086609,0.6920415759086609,51.0,51.0,16.0,1.2005637884140015,1.0932713747024536,0.3720930218696594,0.363439679145813,0.363439679145813,43.0,43.0,14.0,1.1938961744308472,1.1573435068130493,0.32093024253845215,0.29406166076660156,0.29406166076660156,215.0,215.0,16.0,0.7295644283294678,0.7295644283294678,0.6171875,186715.921875,0.0,0.0
