global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,1.0787353515625,1.096936583518982,0.347222238779068,0.32793211936950684,0.32793211936950684,216.0,216.0,16.0,1.3320549726486206,1.2206470966339111,0.3454545736312866,0.3203306198120117,0.3203306198120117,55.0,55.0,16.0,0.2918807566165924,0.3074844777584076,0.9000000357627869,0.8460000157356262,0.8460000157356262,50.0,50.0,15.0,0.44241732358932495,0.46126100420951843,0.7853403091430664,0.7318878173828125,0.7318878173828125,191.0,191.0,16.0,0.7917296290397644,0.7917296886444092,0.564453125,186715.90625,0.0,0.0
2,31,1.0918608903884888,1.1101799011230469,0.3384615480899811,0.31242606043815613,0.31242606043815613,195.0,195.0,16.0,1.4654642343521118,1.2681907415390015,0.16949154436588287,0.16949154436588287,0.16949154436588287,59.0,59.0,15.0,0.30100017786026,0.4091572165489197,0.9000000953674316,0.8775001168251038,0.8775001168251038,40.0,40.0,16.0,0.4292752146720886,0.420409232378006,0.81651371717453,0.7565861344337463,0.7565861344337463,218.0,218.0,16.0,0.7910104393959045,0.7910102605819702,0.56640625,186715.90625,0.0,0.0
3,47,0.972323477268219,0.9989116191864014,0.4466020166873932,0.41625043749809265,0.41625043749809265,206.0,206.0,16.0,1.3797446489334106,1.3977785110473633,0.24561406672000885,0.23699603974819183,0.23699603974819183,57.0,57.0,16.0,0.36813512444496155,0.3344448208808899,0.8775510191917419,0.8417326211929321,0.8417326211929321,49.0,49.0,15.0,0.434510737657547,0.4354323446750641,0.800000011920929,0.7440000176429749,0.7440000176429749,200.0,200.0,16.0,0.7497751116752625,0.7497750520706177,0.603515625,186715.90625,0.0,0.0
4,63,0.9155265092849731,0.9398561120033264,0.451327383518219,0.41538095474243164,0.41538095474243164,226.0,226.0,16.0,1.0752428770065308,1.0896899700164795,0.3207547068595886,0.2965468168258667,0.2965468168258667,53.0,53.0,16.0,0.3884207308292389,0.3924843668937683,0.8545454144477844,0.8079338669776917,0.8079338669776917,55.0,55.0,16.0,0.47020795941352844,0.48392578959465027,0.764045000076294,0.7339982986450195,0.7339982986450195,178.0,178.0,16.0,0.7206190824508667,0.7206192016601562,0.58984375,186715.90625,0.0,0.0
5,79,0.7770978808403015,0.8223122358322144,0.5342465043067932,0.5098516941070557,0.5098516941070557,219.0,219.0,16.0,0.957322359085083,0.9308328628540039,0.39534884691238403,0.3677663803100586,0.3677663803100586,43.0,43.0,16.0,0.46977776288986206,0.45234519243240356,0.8085106611251831,0.7397012710571289,0.7397012710571289,47.0,47.0,16.0,0.4772080183029175,0.471991628408432,0.7684730291366577,0.711689293384552,0.711689293384552,203.0,203.0,16.0,0.6451212167739868,0.6451212167739868,0.640625,186715.90625,0.0,0.0
6,95,0.6217557787895203,0.6753584146499634,0.6725146174430847,0.621387779712677,0.621387779712677,171.0,171.0,16.0,0.9213577508926392,0.8699436187744141,0.46875,0.439453125,0.439453125,64.0,64.0,15.0,0.4467813968658447,0.47114694118499756,0.8799999952316284,0.8447999954223633,0.8447999954223633,50.0,50.0,16.0,0.5423141717910767,0.5316295623779297,0.7312774658203125,0.6893981099128723,0.6893981099128723,227.0,227.0,16.0,0.6068974733352661,0.6068974733352661,0.693359375,186715.890625,0.0,0.0
7,111,0.4163857400417328,0.459124892950058,0.832512378692627,0.7874009013175964,0.7874009013175964,203.0,203.0,16.0,0.7477511763572693,0.758524477481842,0.5531915426254272,0.5061114430427551,0.5061114430427551,47.0,47.0,16.0,0.7379127144813538,0.7223898768424988,0.5272727608680725,0.5080991983413696,0.5080991983413696,55.0,55.0,16.0,0.6411054134368896,0.6389341950416565,0.6521739363670349,0.6049149632453918,0.6049149632453918,207.0,207.0,16.0,0.5721964836120605,0.5721965432167053,0.701171875,186715.890625,0.0,0.0
8,127,0.348254919052124,0.35147422552108765,0.8324607014656067,0.7801594734191895,0.7801594734191895,191.0,191.0,16.0,0.6325857639312744,0.6409289240837097,0.6333332657814026,0.5805554986000061,0.5805554986000061,60.0,60.0,16.0,0.7326045632362366,0.7274895310401917,0.5869565010070801,0.535916805267334,0.535916805267334,46.0,46.0,14.0,0.6971403360366821,0.6992918252944946,0.6186046004295349,0.5869550704956055,0.5869550704956055,215.0,215.0,16.0,0.5626108646392822,0.5626109838485718,0.697265625,186715.875,0.0,0.0
9,143,0.2643277049064636,0.2773091793060303,0.8952381014823914,0.8312925100326538,0.8312925100326538,210.0,210.0,16.0,0.6731728911399841,0.662888765335083,0.7297297120094299,0.6705624461174011,0.6705624461174011,37.0,37.0,14.0,0.8236041069030762,0.8651577830314636,0.5517243146896362,0.5136743783950806,0.5136743783950806,58.0,58.0,16.0,0.6169624328613281,0.6165399551391602,0.7101450562477112,0.6758385300636292,0.6758385300636292,207.0,207.0,16.0,0.4997977614402771,0.4997978210449219,0.7695313692092896,186715.859375,0.0,0.0
10,159,0.25417208671569824,0.25752946734428406,0.9150943756103516,0.8201317191123962,0.8201317191123962,212.0,212.0,16.0,0.7012447118759155,0.7358222007751465,0.5593221187591553,0.5498420596122742,0.5498420596122742,59.0,59.0,16.0,1.0226725339889526,0.9921910166740417,0.4791666567325592,0.4592013657093048,0.4592013657093048,48.0,48.0,15.0,0.54520583152771,0.5794910788536072,0.7046632170677185,0.6791054606437683,0.6791054606437683,193.0,193.0,16.0,0.487443208694458,0.487443208694458,0.75390625,186715.859375,0.0,0.0
