global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,1.0787353515625,1.096936583518982,0.347222238779068,1.6705244779586792,20.17795181274414,216.0,216.0,16.0,1.3320549726486206,1.2206470966339111,0.3454545736312866,1.8890188932418823,32.62811279296875,55.0,55.0,16.0,0.2918807566165924,0.3074844777584076,0.9000000357627869,1.1201131343841553,16.508251190185547,50.0,50.0,15.0,0.44241732358932495,0.46126100420951843,0.7853403091430664,1.6554453372955322,23.73841667175293,191.0,191.0,16.0,0.7917296290397644,0.7917296886444092,0.564453125,186715.90625,0.0,0.7917296290397644
2,31,1.0918607711791992,1.1101797819137573,0.3384615480899811,1.9377588033676147,28.78671646118164,195.0,195.0,16.0,1.4654642343521118,1.268190860748291,0.16949154436588287,0.16949154436588287,0.16949154436588287,59.0,59.0,15.0,0.30100035667419434,0.40915781259536743,0.9000000953674316,1.645742416381836,15.58808422088623,40.0,40.0,16.0,0.429275244474411,0.4204091727733612,0.81651371717453,1.5785853862762451,28.10047149658203,218.0,218.0,16.0,0.791010320186615,0.7910102605819702,0.56640625,186715.90625,0.0,0.791010320186615
3,47,0.9723235368728638,0.9989117980003357,0.4466020166873932,2.0119311809539795,27.668601989746094,206.0,206.0,16.0,1.3797454833984375,1.3977794647216797,0.24561406672000885,1.6500242948532104,16.285654067993164,57.0,57.0,16.0,0.3681349456310272,0.33444491028785706,0.8775510191917419,1.220331072807312,21.48116111755371,49.0,49.0,15.0,0.4345109462738037,0.435432493686676,0.800000011920929,1.9145839214324951,33.951515197753906,200.0,200.0,16.0,0.7497753500938416,0.7497752904891968,0.603515625,186715.90625,0.0,0.7497753500938416
4,63,0.9155266284942627,0.9398562908172607,0.451327383518219,1.9258297681808472,26.47854232788086,226.0,226.0,16.0,1.0752437114715576,1.089690923690796,0.3207547068595886,2.49111270904541,27.3054256439209,53.0,53.0,16.0,0.38842087984085083,0.3924843966960907,0.8545454144477844,1.4451532363891602,28.306232452392578,55.0,55.0,16.0,0.470208078622818,0.48392578959465027,0.764045000076294,1.2011735439300537,11.962237358093262,178.0,178.0,16.0,0.7206194400787354,0.7206193208694458,0.58984375,186715.90625,0.0,0.7206193804740906
5,79,0.7771000266075134,0.8223141431808472,0.5342465043067932,1.3535665273666382,18.81595802307129,219.0,219.0,16.0,0.9573249220848083,0.9308344125747681,0.39534884691238403,2.558722496032715,30.59564971923828,43.0,43.0,16.0,0.46977782249450684,0.4523448348045349,0.8085106611251831,1.9770681858062744,22.923885345458984,47.0,47.0,16.0,0.47720813751220703,0.47199174761772156,0.7684730291366577,1.668649673461914,29.82176971435547,203.0,203.0,16.0,0.6451224684715271,0.6451224088668823,0.640625,186715.90625,0.0,0.6451224088668823
6,95,0.6217533946037292,0.6753578186035156,0.6725146174430847,1.9236993789672852,35.52239227294922,171.0,171.0,16.0,0.9213573336601257,0.8699439764022827,0.46875,1.6064144372940063,28.794437408447266,64.0,64.0,15.0,0.4467771053314209,0.4711470603942871,0.8799999952316284,1.4065872430801392,24.317459106445312,50.0,50.0,16.0,0.5423133373260498,0.5316290259361267,0.7312774658203125,1.5981018543243408,22.41240882873535,227.0,227.0,16.0,0.6068958640098572,0.6068958640098572,0.693359375,186715.890625,0.0,0.6068958640098572
7,111,0.41637906432151794,0.4591190218925476,0.832512378692627,1.3700536489486694,20.975500106811523,203.0,203.0,16.0,0.7477494478225708,0.7585262060165405,0.5531915426254272,2.37986421585083,39.314022064208984,47.0,47.0,16.0,0.7379199266433716,0.7223963141441345,0.5272727608680725,0.9850084781646729,19.25088119506836,55.0,55.0,16.0,0.6411082744598389,0.6389358043670654,0.6521739363670349,1.8722615242004395,34.3203010559082,207.0,207.0,16.0,0.5721956491470337,0.5721956491470337,0.701171875,186715.890625,0.0,0.5721956491470337
8,127,0.3482131361961365,0.35143083333969116,0.8324607014656067,1.28184175491333,12.41533088684082,191.0,191.0,16.0,0.6325060129165649,0.6408370137214661,0.6333332657814026,1.6710946559906006,30.950090408325195,60.0,60.0,16.0,0.7326380014419556,0.7275223135948181,0.5869565010070801,1.8347315788269043,32.97467041015625,46.0,46.0,14.0,0.6971420049667358,0.6993001103401184,0.6186046004295349,1.7247387170791626,26.17037582397461,215.0,215.0,16.0,0.562589704990387,0.5625897645950317,0.697265625,186715.875,0.0,0.562589704990387
9,143,0.26428645849227905,0.2772626578807831,0.8952381014823914,1.193065881729126,14.378326416015625,210.0,210.0,16.0,0.6731342077255249,0.6628698110580444,0.7297297120094299,1.9934320449829102,27.743486404418945,37.0,37.0,14.0,0.8236674666404724,0.8652098178863525,0.5517243146896362,2.008786201477051,35.36665725708008,58.0,58.0,16.0,0.6169847249984741,0.6165621280670166,0.7101450562477112,1.1777043342590332,15.782831192016602,207.0,207.0,16.0,0.4997943341732025,0.49979427456855774,0.7695313692092896,186715.859375,0.0,0.4997943341732025
10,159,0.2539735436439514,0.25732672214508057,0.9150943756103516,1.483241081237793,19.057287216186523,212.0,212.0,16.0,0.7007473707199097,0.7354445457458496,0.5593221187591553,0.9866503477096558,17.850034713745117,59.0,59.0,16.0,1.0231964588165283,0.9924319386482239,0.4791666567325592,1.046736240386963,25.854835510253906,48.0,48.0,15.0,0.5453064441680908,0.5794002413749695,0.7046632170677185,1.3731765747070312,17.441020965576172,193.0,193.0,16.0,0.48739075660705566,0.4873907268047333,0.75390625,186715.859375,0.0,0.48739075660705566
11,175,0.17738807201385498,0.17219217121601105,0.9420290589332581,1.0324194431304932,8.666658401489258,207.0,207.0,16.0,0.7326851487159729,0.6760059595108032,0.6034482717514038,1.824263095855713,39.8217887878418,58.0,58.0,16.0,0.7787876129150391,0.8935596942901611,0.5636363625526428,0.5636363625526428,0.5636363625526428,55.0,55.0,15.0,0.40489354729652405,0.44310978055000305,0.8333333730697632,1.7104778289794922,25.38513946533203,192.0,192.0,16.0,0.3902108371257782,0.3902108669281006,0.822265625,186715.828125,0.0,0.3902108371257782
12,191,0.16528204083442688,0.17214477062225342,0.9487179517745972,1.0545141696929932,6.862888813018799,195.0,195.0,16.0,0.7420269846916199,0.7366080284118652,0.5762712955474854,2.0584421157836914,45.61273956298828,59.0,59.0,15.0,0.5007441639900208,0.5886534452438354,0.7931035161018372,1.8621593713760376,27.606094360351562,58.0,58.0,15.0,0.2600703537464142,0.28679051995277405,0.8999999761581421,1.62229323387146,25.650915145874023,200.0,200.0,16.0,0.3067711293697357,0.3067711591720581,0.869140625,186715.84375,0.0,0.3067711591720581
13,207,0.23571938276290894,0.2314917892217636,0.8811880350112915,1.052403450012207,11.193801879882812,202.0,202.0,16.0,0.8396554589271545,0.8161612153053284,0.4999999701976776,2.3200390338897705,27.19202995300293,54.0,54.0,15.0,0.6021378636360168,0.5497180819511414,0.7058824300765991,1.0050402879714966,17.243087768554688,51.0,51.0,16.0,0.18728363513946533,0.21952521800994873,0.9365853667259216,1.1203681230545044,7.188573837280273,205.0,205.0,16.0,0.3165213465690613,0.3165212571620941,0.845703125,186715.828125,0.0,0.3165213465690613
14,223,0.1694154143333435,0.16174452006816864,0.9310345649719238,1.094027042388916,10.414454460144043,203.0,203.0,16.0,1.1911159753799438,1.2224957942962646,0.3999999761581421,3.5584614276885986,32.53645324707031,55.0,55.0,15.0,0.4707687199115753,0.5370172262191772,0.7111111283302307,1.5600346326828003,28.82438087463379,45.0,45.0,16.0,0.1270475685596466,0.14824824035167694,0.9521531462669373,1.131903052330017,10.098669052124023,209.0,209.0,16.0,0.2883598506450653,0.2883598506450653,0.86328125,186715.84375,0.0,0.2883598506450653
15,239,0.15637007355690002,0.1472690850496292,0.9371981620788574,1.0755444765090942,9.834778785705566,207.0,207.0,16.0,1.0574880838394165,1.0551843643188477,0.5106383562088013,1.6727004051208496,32.84250259399414,47.0,47.0,15.0,0.6413341164588928,0.8365036249160767,0.7213115096092224,1.5221781730651855,6.983282566070557,61.0,61.0,16.0,0.10351710021495819,0.10116510838270187,0.9695431590080261,1.0095261335372925,5.027826309204102,197.0,197.0,16.0,0.27653276920318604,0.2765327990055084,0.884765625,186715.84375,0.0,0.27653276920318604
