global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,1.0787353515625,1.096936583518982,0.347222238779068,1.6705244779586792,20.17795181274414,216.0,216.0,16.0,1.3320549726486206,1.2206470966339111,0.3454545736312866,1.8890188932418823,32.62811279296875,55.0,55.0,16.0,0.2918807566165924,0.3074844777584076,0.9000000357627869,1.1201131343841553,16.508251190185547,50.0,50.0,15.0,0.44241732358932495,0.46126100420951843,0.7853403091430664,1.6554453372955322,23.73841667175293,191.0,191.0,16.0,0.7917296290397644,0.7917296886444092,0.564453125,186715.90625,0.0,49.20709228515625
2,31,1.1123709678649902,1.1272550821304321,0.3282051384449005,1.946421504020691,28.52841567993164,195.0,195.0,16.0,1.487718939781189,1.2845157384872437,0.16949154436588287,0.16949154436588287,0.16949154436588287,59.0,59.0,15.0,0.2945380210876465,0.40210235118865967,0.9000000953674316,1.6347136497497559,15.682610511779785,40.0,40.0,16.0,0.4209209680557251,0.41379839181900024,0.8256880044937134,1.5716873407363892,27.74820899963379,218.0,218.0,16.0,0.7973242998123169,0.7973242998123169,0.56640625,186715.90625,0.0,53.33624267578125
3,47,1.066721796989441,1.0790536403656006,0.38349515199661255,2.025743007659912,26.53850555419922,206.0,206.0,16.0,1.4736407995224,1.4789868593215942,0.2280701845884323,1.6608195304870605,14.860528945922852,57.0,57.0,16.0,0.32849109172821045,0.3047132194042206,0.9183673858642578,1.209167718887329,19.253868103027344,49.0,49.0,15.0,0.395754873752594,0.40232256054878235,0.8350000381469727,1.8607617616653442,32.73782730102539,200.0,200.0,16.0,0.7792758941650391,0.7792758941650391,0.59375,186715.90625,0.0,47.78987503051758
4,63,1.1713049411773682,1.1671321392059326,0.28761065006256104,1.9617211818695068,24.094486236572266,226.0,226.0,16.0,1.3011486530303955,1.2823486328125,0.2830188572406769,2.5697262287139893,21.041118621826172,53.0,53.0,16.0,0.288254052400589,0.30549585819244385,0.9272727370262146,1.3740205764770508,23.415815353393555,55.0,55.0,16.0,0.3731948733329773,0.3969492018222809,0.8595506548881531,1.222556471824646,10.735283851623535,178.0,178.0,16.0,0.8124187588691711,0.8124188184738159,0.5546875596046448,186715.90625,0.0,42.06618881225586
5,79,1.2916181087493896,1.2898881435394287,0.27397263050079346,1.3894965648651123,16.4248046875,219.0,219.0,16.0,1.4596951007843018,1.3651089668273926,0.1395348608493805,2.5378332138061523,15.975988388061523,43.0,43.0,16.0,0.2618108093738556,0.26811233162879944,0.936170220375061,1.8664510250091553,23.706663131713867,47.0,47.0,16.0,0.2987488806247711,0.31537967920303345,0.8817734122276306,1.4197840690612793,20.89830207824707,203.0,203.0,16.0,0.8175436854362488,0.8175437450408936,0.564453125,186715.875,0.0,38.41236877441406
6,95,1.5452635288238525,1.5224127769470215,0.16959065198898315,2.174415111541748,18.043283462524414,171.0,171.0,16.0,1.791631817817688,1.6501100063323975,0.062499988824129105,1.5912591218948364,15.430890083312988,64.0,64.0,15.0,0.1853393167257309,0.20266598463058472,0.9200000762939453,1.1899434328079224,11.059733390808105,50.0,50.0,16.0,0.24993745982646942,0.2626573443412781,0.929515540599823,1.3223326206207275,14.831771850585938,227.0,227.0,16.0,0.8689595460891724,0.8689594864845276,0.5664063096046448,186715.90625,0.0,25.101028442382812
7,111,1.8009716272354126,1.7197320461273193,0.07881774008274078,1.471959114074707,12.30109691619873,203.0,203.0,16.0,2.052186965942383,1.968529462814331,0.042553190141916275,2.4372332096099854,11.438362121582031,47.0,47.0,16.0,0.15419308841228485,0.17003366351127625,1.0,1.0392494201660156,4.629483222961426,55.0,55.0,16.0,0.1916874796152115,0.20932531356811523,0.9565218091011047,1.2053332328796387,13.30822467803955,207.0,207.0,16.0,0.9965037107467651,0.9965038299560547,0.529296875,186715.90625,0.0,20.76435661315918
8,127,2.074394941329956,1.9736441373825073,0.052356019616127014,1.3966259956359863,9.626640319824219,191.0,191.0,16.0,2.439962863922119,2.369967222213745,0.0,2.2289485931396484,14.11630630493164,60.0,60.0,16.0,0.12912829220294952,0.14173349738121033,0.9565218091011047,1.0049256086349487,7.435491561889648,46.0,46.0,14.0,0.13923825323581696,0.15190570056438446,0.9813953638076782,1.1953685283660889,9.393680572509766,215.0,215.0,16.0,1.129850149154663,1.1298502683639526,0.517578125,186715.9375,0.0,10.171830177307129
9,143,2.5718133449554443,2.4473512172698975,0.01428571529686451,1.6694508790969849,9.097485542297363,210.0,210.0,16.0,2.5799362659454346,2.5708200931549072,0.0,1.8023477792739868,7.681493282318115,37.0,37.0,14.0,0.05722350627183914,0.08526089787483215,1.0,1.0557259321212769,6.431985855102539,58.0,58.0,16.0,0.08939480781555176,0.09745810925960541,0.9806764125823975,0.9947862029075623,3.0563275814056396,207.0,207.0,16.0,1.2839106321334839,1.2839103937149048,0.515625,186715.9375,0.0,5.301903247833252
10,159,3.1870827674865723,3.003430128097534,0.004716981202363968,2.1794328689575195,4.018094539642334,212.0,212.0,16.0,3.7276177406311035,3.697263479232788,0.0,0.7780664563179016,0.15344902873039246,59.0,59.0,16.0,0.04383975639939308,0.05798138305544853,1.0,0.9665859341621399,1.3521661758422852,48.0,48.0,15.0,0.05698193237185478,0.0735057145357132,0.9896373748779297,1.094611406326294,4.481860160827637,193.0,193.0,16.0,1.7747905254364014,1.774790644645691,0.4687500298023224,186715.953125,0.0,3.467318534851074
11,175,4.055711269378662,3.8196284770965576,0.009661835618317127,1.7313967943191528,1.4948538541793823,207.0,207.0,16.0,4.182094573974609,3.994483709335327,0.0,2.5133414268493652,5.785604953765869,58.0,58.0,16.0,0.039760950952768326,0.05459732189774513,0.9818181991577148,0.9818181991577148,0.9818181991577148,55.0,55.0,15.0,0.03125067427754402,0.03785335272550583,1.0,0.9856668710708618,2.8283820152282715,192.0,192.0,16.0,2.1294543743133545,2.1294543743133545,0.484375,186716.015625,0.0,3.081751585006714
12,191,4.753209114074707,4.606228351593018,0.0,0.597615659236908,0.1592942476272583,195.0,195.0,16.0,4.781646728515625,4.573825836181641,0.0,2.7034125328063965,2.7699477672576904,59.0,59.0,15.0,0.013781670480966568,0.021111249923706055,1.0,0.9269362688064575,2.6878905296325684,58.0,58.0,15.0,0.026607967913150787,0.027021247893571854,1.0,0.9641285538673401,2.140641689300537,200.0,200.0,16.0,2.373269557952881,2.3732693195343018,0.50390625,186716.03125,0.0,2.6464834213256836
13,207,5.080547332763672,4.985754489898682,0.0,1.8770921230316162,0.9321272969245911,202.0,202.0,16.0,5.163202285766602,5.123892784118652,0.0,1.763127088546753,0.19495785236358643,54.0,54.0,15.0,0.007920302450656891,0.010885773226618767,1.0,0.9640960693359375,1.0932426452636719,51.0,51.0,16.0,0.022247981280088425,0.02392369881272316,1.0,0.9612298011779785,1.2984756231307983,205.0,205.0,16.0,2.5586884021759033,2.558687925338745,0.5,186716.046875,0.0,2.723748207092285
14,223,5.357044219970703,5.305698394775391,0.0,1.1027764081954956,0.4437887668609619,203.0,203.0,16.0,5.440905570983887,5.4473443031311035,0.0,2.8444836139678955,0.9463892579078674,55.0,55.0,15.0,0.006804559845477343,0.007250211667269468,1.0,0.9571468830108643,1.0259343385696411,45.0,45.0,16.0,0.016041528433561325,0.01839344948530197,1.0,0.9456875324249268,1.219483494758606,209.0,209.0,16.0,2.7156031131744385,2.7156028747558594,0.49609375,186716.09375,0.0,2.7953007221221924
15,239,5.361201286315918,5.322266101837158,0.0,1.529036521911621,1.1814351081848145,207.0,207.0,16.0,5.560581207275391,5.643967628479004,0.0,1.277374505996704,0.11032342910766602,47.0,47.0,15.0,0.01653633825480938,0.010070509277284145,1.0,0.957077145576477,1.1638410091400146,61.0,61.0,16.0,0.01059742458164692,0.0132808992639184,1.0,0.9823291301727295,2.065732955932617,197.0,197.0,16.0,2.6840083599090576,2.6840085983276367,0.50390625,186716.09375,0.0,2.753509283065796
16,15,4.803887367248535,4.872433662414551,0.0,0.5524861812591553,0.4888654351234436,349.0,349.0,28.0,4.960878849029541,4.69221830368042,0.0,0.2782009541988373,0.3426551818847656,92.0,92.0,28.0,0.014038925059139729,0.011450646445155144,1.0,0.946451723575592,1.1289490461349487,85.0,85.0,27.0,0.01473969779908657,0.016714157536625862,1.0,0.965183675289154,1.2526531219482422,365.0,365.0,28.0,2.401907444000244,2.4012691974639893,0.505050539970398,186716.15625,0.0,2.561901569366455
17,31,3.9746384620666504,4.159060001373291,0.0,0.9822330474853516,0.8172323107719421,200.0,200.0,16.0,4.36121129989624,4.434455871582031,0.0,1.610347032546997,1.0777692794799805,51.0,51.0,16.0,0.025576503947377205,0.023252740502357483,1.0,1.0020030736923218,3.8166465759277344,59.0,59.0,16.0,0.02960478700697422,0.03233473375439644,0.9950495362281799,0.9698077440261841,1.9274263381958008,202.0,202.0,16.0,2.0016379356384277,2.0016379356384277,0.5078125,186716.15625,0.0,2.171945571899414
18,47,3.1289937496185303,3.285132646560669,0.0,1.6840616464614868,2.5104141235351562,206.0,206.0,16.0,3.5701911449432373,3.7664709091186523,0.0,0.433948278427124,0.8432936668395996,48.0,48.0,16.0,0.05029876530170441,0.04858926683664322,1.0,1.0176154375076294,2.152449607849121,52.0,52.0,16.0,0.047535110265016556,0.04341168329119682,1.0,0.9947238564491272,2.135448694229126,206.0,206.0,16.0,1.617870569229126,1.6178703308105469,0.50390625,186716.171875,0.0,2.004692554473877
