global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,1.0787353515625,1.096936583518982,0.347222238779068,1.6705244779586792,20.17795181274414,216.0,216.0,16.0,1.3320549726486206,1.2206470966339111,0.3454545736312866,1.8890188932418823,32.62811279296875,55.0,55.0,16.0,0.2918807566165924,0.3074844777584076,0.9000000357627869,1.1201131343841553,16.508251190185547,50.0,50.0,15.0,0.44241732358932495,0.46126100420951843,0.7853403091430664,1.6554453372955322,23.73841667175293,191.0,191.0,16.0,0.7917296290397644,0.7917296886444092,0.564453125,186715.90625,0.0,3.397581100463867
2,31,1.0957767963409424,1.1134264469146729,0.3384615480899811,1.9401212930679321,28.664825439453125,195.0,195.0,16.0,1.469897985458374,1.2714757919311523,0.16949154436588287,0.16949154436588287,0.16949154436588287,59.0,59.0,15.0,0.29967883229255676,0.4077552258968353,0.9000000953674316,1.639936089515686,15.563172340393066,40.0,40.0,16.0,0.42716315388679504,0.4187787175178528,0.81651371717453,1.5736539363861084,27.945919036865234,218.0,218.0,16.0,0.7920101284980774,0.7920100688934326,0.56640625,186715.90625,0.0,3.695042133331299
3,47,0.9951692819595337,1.0179448127746582,0.44174760580062866,2.0125362873077393,27.2440185546875,206.0,206.0,16.0,1.4012645483016968,1.416628360748291,0.24561406672000885,1.6517891883850098,15.931463241577148,57.0,57.0,16.0,0.3550199866294861,0.3250039517879486,0.8979592323303223,1.2232043743133545,20.72137451171875,49.0,49.0,15.0,0.42112377285957336,0.4243905246257782,0.809999942779541,1.8876687288284302,33.15208435058594,200.0,200.0,16.0,0.7548784017562866,0.7548782825469971,0.607421875,186715.90625,0.0,3.3984007835388184
4,63,0.9811254739761353,0.9975906014442444,0.41592922806739807,1.9208894968032837,25.117429733276367,226.0,226.0,16.0,1.1339422464370728,1.142716884613037,0.2830188572406769,2.4462332725524902,24.814525604248047,53.0,53.0,16.0,0.35057976841926575,0.36101868748664856,0.8727272152900696,1.4156875610351562,26.491592407226562,55.0,55.0,16.0,0.4337962567806244,0.4512038230895996,0.7921348810195923,1.1915428638458252,11.1856107711792,178.0,178.0,16.0,0.7389276027679443,0.7389276027679443,0.58203125,186715.90625,0.0,2.9541282653808594
5,79,0.902661144733429,0.9344433546066284,0.4429224133491516,1.3168350458145142,17.77683448791504,219.0,219.0,16.0,1.0774879455566406,1.035061240196228,0.25581395626068115,2.413177728652954,24.869401931762695,43.0,43.0,16.0,0.383254736661911,0.3739347457885742,0.8510639071464539,1.9311206340789795,22.366640090942383,47.0,47.0,16.0,0.4046909809112549,0.4103320837020874,0.8275862336158752,1.5436813831329346,24.367441177368164,203.0,203.0,16.0,0.6722265481948853,0.6722265481948853,0.6171875,186715.921875,0.0,2.7186741828918457
6,95,0.8222397565841675,0.8587054014205933,0.5204678177833557,1.8894118070602417,28.036344528198242,171.0,171.0,16.0,1.1373664140701294,1.0565563440322876,0.3750000298023224,1.573677659034729,21.429269790649414,64.0,64.0,15.0,0.338063508272171,0.3512556850910187,0.8599998354911804,1.3130594491958618,19.292123794555664,50.0,50.0,16.0,0.42551305890083313,0.42408522963523865,0.8237885236740112,1.4790974855422974,19.07562828063965,227.0,227.0,16.0,0.6384551525115967,0.6384552121162415,0.669921875,186715.90625,0.0,2.427016496658325
7,111,0.659030020236969,0.6831589341163635,0.6059113144874573,1.277329921722412,18.42255973815918,203.0,203.0,16.0,1.0134687423706055,0.9978417158126831,0.4893617331981659,2.245929718017578,24.670381546020508,47.0,47.0,16.0,0.4680366516113281,0.4678233563899994,0.7636364102363586,0.9948775172233582,11.196578979492188,55.0,55.0,16.0,0.4576876759529114,0.4647061228752136,0.8260868787765503,1.5363879203796387,22.460824966430664,207.0,207.0,16.0,0.5896474719047546,0.5896474123001099,0.701171875,186715.890625,0.0,2.2029287815093994
8,127,0.5789158344268799,0.5850960612297058,0.675392746925354,1.2454583644866943,10.926362991333008,191.0,191.0,16.0,0.8782017827033997,0.8874751329421997,0.45000001788139343,1.685825228691101,22.13014030456543,60.0,60.0,16.0,0.46807050704956055,0.4698604643344879,0.7608695030212402,1.5001262426376343,20.562685012817383,46.0,46.0,14.0,0.4855986535549164,0.48946282267570496,0.7999999523162842,1.4731426239013672,14.846756935119629,215.0,215.0,16.0,0.5648437142372131,0.5648437142372131,0.708984375,186715.890625,0.0,1.7631192207336426
9,143,0.4889126121997833,0.498949259519577,0.7999999523162842,1.2387882471084595,13.22860050201416,210.0,210.0,16.0,0.8178526759147644,0.8514185547828674,0.5135135054588318,1.689939260482788,20.600133895874023,37.0,37.0,14.0,0.49680694937705994,0.5406870245933533,0.7931035757064819,1.5039807558059692,18.915531158447266,58.0,58.0,16.0,0.4574602246284485,0.4447978138923645,0.8405797481536865,1.0797147750854492,9.244536399841309,207.0,207.0,16.0,0.5008619427680969,0.5008618831634521,0.794921875,186715.890625,0.0,1.4009957313537598
10,159,0.479724645614624,0.4820232391357422,0.7594338655471802,1.448108196258545,13.490119934082031,212.0,212.0,16.0,0.8220353722572327,0.8604127168655396,0.49152541160583496,0.9263308048248291,13.057962417602539,59.0,59.0,16.0,0.6341268420219421,0.6535933613777161,0.6250000596046448,0.8654194474220276,10.195612907409668,48.0,48.0,15.0,0.46472039818763733,0.49649566411972046,0.8082901239395142,1.2528321743011475,8.644248008728027,193.0,193.0,16.0,0.5279898047447205,0.52798992395401,0.734375,186715.96875,0.0,1.4296753406524658
