global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,1.0787353515625,1.096936583518982,0.347222238779068,1.6705244779586792,20.17795181274414,216.0,216.0,16.0,1.3320549726486206,1.2206470966339111,0.3454545736312866,1.8890188932418823,32.62811279296875,55.0,55.0,16.0,0.2918807566165924,0.3074844777584076,0.9000000357627869,1.1201131343841553,16.508251190185547,50.0,50.0,15.0,0.44241732358932495,0.46126100420951843,0.7853403091430664,1.6554453372955322,23.73841667175293,191.0,191.0,16.0,0.7917296290397644,0.7917296886444092,0.564453125,186715.90625,0.0,49.20709228515625
2,31,1.1123707294464111,1.1272549629211426,0.3282051384449005,1.946421504020691,28.528417587280273,195.0,195.0,16.0,1.4877192974090576,1.2845159769058228,0.16949154436588287,0.16949154436588287,0.16949154436588287,59.0,59.0,15.0,0.2945380210876465,0.402102530002594,0.9000000953674316,1.6347148418426514,15.68260669708252,40.0,40.0,16.0,0.42092084884643555,0.41379839181900024,0.8256880044937134,1.5716872215270996,27.748218536376953,218.0,218.0,16.0,0.7973242998123169,0.7973241806030273,0.56640625,186715.90625,0.0,53.33625030517578
3,47,1.0667216777801514,1.0790531635284424,0.38349515199661255,2.025742530822754,26.538516998291016,206.0,206.0,16.0,1.4736400842666626,1.4789860248565674,0.2280701845884323,1.6608189344406128,14.860573768615723,57.0,57.0,16.0,0.32849106192588806,0.3047133982181549,0.9183673858642578,1.209168791770935,19.2539005279541,49.0,49.0,15.0,0.3957551121711731,0.40232282876968384,0.8350000381469727,1.8607624769210815,32.73786163330078,200.0,200.0,16.0,0.7792758941650391,0.7792758345603943,0.59375,186715.90625,0.0,47.789886474609375
4,63,1.1713043451309204,1.1671315431594849,0.28761065006256104,1.961719036102295,24.094446182250977,226.0,226.0,16.0,1.3011471033096313,1.2823472023010254,0.2830188572406769,2.569718599319458,21.04119873046875,53.0,53.0,16.0,0.28825441002845764,0.3054962158203125,0.9272727370262146,1.3740220069885254,23.41588020324707,55.0,55.0,16.0,0.3731955885887146,0.39695003628730774,0.8595506548881531,1.222556710243225,10.735286712646484,178.0,178.0,16.0,0.8124188184738159,0.8124187588691711,0.5546875596046448,186715.90625,0.0,42.066158294677734
5,79,1.2916147708892822,1.2898859977722168,0.27397263050079346,1.389495611190796,16.424768447875977,219.0,219.0,16.0,1.4596891403198242,1.3651037216186523,0.1395348608493805,2.5378260612487793,15.976038932800293,43.0,43.0,16.0,0.2618105411529541,0.268111914396286,0.936170220375061,1.8664524555206299,23.706642150878906,47.0,47.0,16.0,0.2987500727176666,0.3153807818889618,0.8817734122276306,1.4197866916656494,20.898290634155273,203.0,203.0,16.0,0.8175423741340637,0.8175422549247742,0.564453125,186715.875,0.0,38.41231155395508
6,95,1.5452758073806763,1.5224239826202393,0.16959065198898315,2.174431085586548,18.043195724487305,171.0,171.0,16.0,1.7916463613510132,1.6501233577728271,0.062499988824129105,1.5912789106369019,15.430866241455078,64.0,64.0,15.0,0.18533651530742645,0.20266517996788025,0.9200000762939453,1.189944863319397,11.059621810913086,50.0,50.0,16.0,0.2499336451292038,0.2626543641090393,0.929515540599823,1.3223237991333008,14.831656455993652,227.0,227.0,16.0,0.8689634799957275,0.8689634203910828,0.5664063096046448,186715.90625,0.0,25.100915908813477
7,111,1.8009482622146606,1.7197173833847046,0.07881774008274078,1.471940517425537,12.301085472106934,203.0,203.0,16.0,2.0521583557128906,1.9685156345367432,0.042553190141916275,2.437211513519287,11.438706398010254,47.0,47.0,16.0,0.15419316291809082,0.17003312706947327,1.0,1.0392529964447021,4.629631042480469,55.0,55.0,16.0,0.1916906237602234,0.20932739973068237,0.9565218091011047,1.2053444385528564,13.308492660522461,207.0,207.0,16.0,0.9964932203292847,0.9964932203292847,0.529296875,186715.90625,0.0,20.763988494873047
8,127,2.0743649005889893,1.9736188650131226,0.052356019616127014,1.396584153175354,9.626562118530273,191.0,191.0,16.0,2.439955711364746,2.3699746131896973,0.0,2.228909730911255,14.116649627685547,60.0,60.0,16.0,0.1291259378194809,0.1417362242937088,0.9565218091011047,1.0049412250518799,7.436225414276123,46.0,46.0,14.0,0.13924923539161682,0.15191717445850372,0.9813953638076782,1.1953516006469727,9.392884254455566,215.0,215.0,16.0,1.129842758178711,1.1298426389694214,0.517578125,186715.9375,0.0,10.172236442565918
9,143,2.5715696811676025,2.447145700454712,0.01428571529686451,1.6695067882537842,9.100320816040039,210.0,210.0,16.0,2.5796713829040527,2.5706048011779785,0.0,1.8022643327713013,7.683495044708252,37.0,37.0,14.0,0.057238977402448654,0.0852828100323677,1.0,1.0557345151901245,6.432369232177734,58.0,58.0,16.0,0.08941573649644852,0.09747838973999023,0.9806764125823975,0.9948122501373291,3.057194709777832,207.0,207.0,16.0,1.283801555633545,1.2838016748428345,0.515625,186715.9375,0.0,5.303471088409424
10,159,3.186391592025757,3.002871036529541,0.004716981202363968,2.1792333126068115,4.019861698150635,212.0,212.0,16.0,3.7263343334198,3.696237087249756,0.0,0.778073251247406,0.15360619127750397,59.0,59.0,16.0,0.04386814311146736,0.05800933763384819,1.0,0.9665913581848145,1.3523672819137573,48.0,48.0,15.0,0.057014644145965576,0.07353943586349487,0.9896373748779297,1.0946898460388184,4.482272624969482,193.0,193.0,16.0,1.7743713855743408,1.7743715047836304,0.4687500298023224,186715.953125,0.0,3.468862295150757
