global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,1.785238265991211,1.7897530794143677,0.11818181723356247,0.1128099113702774,0.1128099113702774,220.0,220.0,16.0,1.9076999425888062,2.045485734939575,0.11764707416296005,0.1130334660410881,0.1130334660410881,51.0,51.0,16.0,0.2433721423149109,0.18589310348033905,0.9318181872367859,0.8894628286361694,0.8894628286361694,44.0,44.0,16.0,0.2112046480178833,0.2500787377357483,0.9593908786773682,0.8717308044433594,0.8717308044433594,197.0,197.0,16.0,1.0592983961105347,1.0592983961105347,0.51171875,186715.9375,0.0,0.0
2,31,1.9028136730194092,1.911297082901001,0.12765958905220032,0.11815302819013596,0.11815302819013596,188.0,188.0,16.0,1.4736815690994263,1.5608923435211182,0.236111119389534,0.2295524775981903,0.2295524775981903,72.0,72.0,16.0,0.3047051429748535,0.28167924284935,0.8775510787963867,0.8775510787963867,0.8775510787963867,49.0,49.0,15.0,0.287590354681015,0.2714458703994751,0.9064039587974548,0.8349632620811462,0.8349632620811462,203.0,203.0,16.0,1.04911208152771,1.0491122007369995,0.5234375,186715.9375,0.0,0.0
3,47,1.7535604238510132,1.7819623947143555,0.13592232763767242,0.1280045211315155,0.1280045211315155,206.0,206.0,16.0,1.5635411739349365,1.5757344961166382,0.17647060751914978,0.15916956961154938,0.15916956961154938,51.0,51.0,16.0,0.3077918291091919,0.29050812125205994,0.875,0.8020833730697632,0.8020833730697632,48.0,48.0,16.0,0.21805234253406525,0.2352381944656372,0.9420290589332581,0.8919695615768433,0.8919695615768433,207.0,207.0,16.0,0.9782909154891968,0.978290855884552,0.53515625,186715.921875,0.0,0.0
4,63,1.6216109991073608,1.642661690711975,0.1428571343421936,0.13647958636283875,0.13647958636283875,224.0,224.0,16.0,1.6189998388290405,1.5390957593917847,0.08771929889917374,0.07694675028324127,0.07694675028324127,57.0,57.0,16.0,0.3845013380050659,0.3720032572746277,0.8679245710372925,0.8024208545684814,0.8024208545684814,53.0,53.0,16.0,0.24724681675434113,0.24351084232330322,0.9213483333587646,0.8644111156463623,0.8644111156463623,178.0,178.0,16.0,1.0154539346694946,1.015453815460205,0.482421875,186715.921875,0.0,0.0
5,79,1.4536017179489136,1.5096931457519531,0.16915424168109894,0.15989704430103302,0.15989704430103302,201.0,201.0,16.0,1.3570683002471924,1.5168401002883911,0.2950820028781891,0.27089494466781616,0.27089494466781616,61.0,61.0,16.0,0.4322805404663086,0.3766900300979614,0.8750000596046448,0.8385416865348816,0.8385416865348816,48.0,48.0,15.0,0.3129981756210327,0.3100748658180237,0.9009900689125061,0.8385452032089233,0.8385452032089233,202.0,202.0,16.0,0.8963481187820435,0.8963480591773987,0.5390625,186715.921875,0.0,0.0
6,95,1.1070164442062378,1.1669124364852905,0.32057422399520874,0.2960326671600342,0.2960326671600342,209.0,209.0,16.0,1.0717412233352661,1.1446832418441772,0.3404255509376526,0.3404255509376526,0.3404255509376526,47.0,47.0,14.0,0.5642476677894592,0.452330619096756,0.7321428060531616,0.6406249403953552,0.6406249403953552,56.0,56.0,14.0,0.3798695504665375,0.362513929605484,0.8550001382827759,0.8165251016616821,0.8165251016616821,200.0,200.0,16.0,0.7603713870048523,0.760371208190918,0.5761719942092896,186715.921875,0.0,0.0
7,111,0.7767811417579651,0.8774083256721497,0.5494505763053894,0.5041661858558655,0.5041661858558655,182.0,182.0,16.0,0.9441984295845032,0.9857717752456665,0.40816324949264526,0.39150354266166687,0.39150354266166687,49.0,49.0,15.0,0.5885403752326965,0.5554773807525635,0.7017543911933899,0.6648199558258057,0.6648199558258057,57.0,57.0,15.0,0.480581670999527,0.47151127457618713,0.790178656578064,0.7478476762771606,0.7478476762771606,224.0,224.0,16.0,0.6422597169876099,0.6422597169876099,0.658203125,186715.921875,0.0,0.0
8,127,0.5418064594268799,0.6077952980995178,0.7095238566398621,0.6656009554862976,0.6656009554862976,210.0,210.0,16.0,0.7982476353645325,0.8094035387039185,0.5652174353599548,0.5283554196357727,0.5283554196357727,46.0,46.0,16.0,0.8701589703559875,0.8004633188247681,0.45098045468330383,0.4156094491481781,0.4156094491481781,51.0,51.0,16.0,0.6656781435012817,0.6613239049911499,0.6536585092544556,0.6153955459594727,0.6153955459594727,205.0,205.0,16.0,0.6471502780914307,0.6471501588821411,0.6484375,186715.90625,0.0,0.0
9,143,0.3108888864517212,0.371535986661911,0.873786449432373,0.8101612329483032,0.8101612329483032,206.0,206.0,16.0,0.4419035315513611,0.4679079055786133,0.7777777910232544,0.7345678806304932,0.7345678806304932,54.0,54.0,16.0,1.088580846786499,1.0391442775726318,0.4374999701976776,0.419270783662796,0.419270783662796,48.0,48.0,15.0,0.8450421690940857,0.7916246652603149,0.4852941334247589,0.4567474126815796,0.4567474126815796,204.0,204.0,16.0,0.6104421615600586,0.6104421615600586,0.66796875,186715.890625,0.0,0.0
10,159,0.17630259692668915,0.22104524075984955,0.978609561920166,0.9158110618591309,0.9158110618591309,187.0,187.0,16.0,0.3371954560279846,0.3636781871318817,0.9056603908538818,0.7860448360443115,0.7860448360443115,53.0,53.0,15.0,1.4540886878967285,1.5864779949188232,0.2075471729040146,0.19971521198749542,0.19971521198749542,53.0,53.0,15.0,0.8262621760368347,0.8360062837600708,0.5159817934036255,0.49006491899490356,0.49006491899490356,219.0,219.0,16.0,0.6032384634017944,0.6032384037971497,0.693359375,186715.875,0.0,0.0
