global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,0.17463898658752441,0.19524265825748444,0.9411764144897461,0.880780041217804,0.880780041217804,374.0,374.0,16.0,0.37297022342681885,0.2035377472639084,0.7777777910232544,0.7777777910232544,0.7777777910232544,9.0,9.0,7.0,3.0372726917266846,1.872269868850708,0.0,0.0,0.0,3.0,3.0,2.0,1.4894087314605713,1.3756645917892456,0.357142835855484,0.3344671130180359,0.3344671130180359,126.0,126.0,16.0,0.5184551477432251,0.5184551477432251,0.7890624403953552,186715.9375,0.0,0.0
2,31,0.2172093689441681,0.1982472836971283,0.9179894924163818,0.8548473715782166,0.8548473715782166,378.0,378.0,16.0,0.22338522970676422,0.17047709226608276,0.8947368264198303,0.8947368264198303,0.8947368264198303,19.0,19.0,10.0,3.694214344024658,2.9193291664123535,0.1111111119389534,0.1111111119389534,0.1111111119389534,9.0,9.0,8.0,1.609338641166687,1.568862795829773,0.30188679695129395,0.28479886054992676,0.28479886054992676,106.0,106.0,16.0,0.5667721629142761,0.5667720437049866,0.7753906846046448,186715.9375,0.0,0.0
3,47,0.16956110298633575,0.19089648127555847,0.9414892196655273,0.8914099931716919,0.8914099931716919,376.0,376.0,16.0,0.507180392742157,0.411134272813797,0.7916668057441711,0.692708432674408,0.692708432674408,24.0,24.0,13.0,4.173491477966309,3.3553311824798584,0.0,0.0,0.0,4.0,4.0,4.0,1.6085419654846191,1.7245879173278809,0.34259259700775146,0.31404322385787964,0.31404322385787964,108.0,108.0,16.0,0.5202028155326843,0.5202027559280396,0.8007811307907104,186715.921875,0.0,0.0
4,63,0.19454918801784515,0.19583569467067719,0.9318801760673523,0.8836356997489929,0.8836356997489929,367.0,367.0,16.0,0.4182230830192566,0.4450984001159668,0.8095238208770752,0.7324263453483582,0.7324263453483582,21.0,21.0,13.0,3.2646892070770264,3.255740165710449,0.0,0.0,0.0,6.0,6.0,6.0,1.4926799535751343,1.5496257543563843,0.305084764957428,0.27664464712142944,0.27664464712142944,118.0,118.0,16.0,0.5388800501823425,0.5388801097869873,0.7714844346046448,186715.9375,0.0,0.0
5,79,0.20042669773101807,0.21262626349925995,0.9268291592597961,0.8816179633140564,0.8816179633140564,369.0,369.0,16.0,0.7079898715019226,0.7199979424476624,0.5909091234207153,0.5371901392936707,0.5371901392936707,22.0,22.0,13.0,3.505697727203369,3.277557373046875,0.1666666716337204,0.111111119389534,0.111111119389534,6.0,6.0,4.0,1.5444529056549072,1.5999723672866821,0.321739137172699,0.29376181960105896,0.29376181960105896,115.0,115.0,16.0,0.5628505945205688,0.5628505945205688,0.7675780653953552,186715.953125,0.0,0.0
6,95,0.20171095430850983,0.20091545581817627,0.9139785170555115,0.8574690818786621,0.8574690818786621,372.0,372.0,16.0,0.5679694414138794,0.5641607046127319,0.7222222089767456,0.6419752836227417,0.6419752836227417,18.0,18.0,12.0,2.8801016807556152,3.124352216720581,0.1666666716337204,0.1388888955116272,0.1388888955116272,6.0,6.0,6.0,1.276797890663147,1.2944918870925903,0.4224138557910919,0.40056484937667847,0.40056484937667847,116.0,116.0,16.0,0.4895489811897278,0.4895489811897278,0.787109375,186715.9375,0.0,0.0
7,111,0.2374473214149475,0.2281678318977356,0.9071618318557739,0.856630265712738,0.856630265712738,377.0,377.0,16.0,0.7025378942489624,0.6820681691169739,0.5999999642372131,0.5399999618530273,0.5399999618530273,20.0,20.0,12.0,2.758629322052002,2.973294734954834,0.0,0.0,0.0,5.0,5.0,4.0,1.0802241563796997,1.186980128288269,0.554545521736145,0.5091736316680908,0.5091736316680908,110.0,110.0,16.0,0.4613012671470642,0.46130114793777466,0.810546875,186715.953125,0.0,0.0
8,127,0.22865894436836243,0.21531662344932556,0.9171122312545776,0.863164484500885,0.863164484500885,374.0,374.0,16.0,0.7601936459541321,0.7118445038795471,0.6111111640930176,0.5771605372428894,0.5771605372428894,18.0,18.0,12.0,2.7177414894104004,2.7767202854156494,0.1666666716337204,0.1666666716337204,0.1666666716337204,6.0,6.0,6.0,0.9612422585487366,1.0294640064239502,0.5,0.46052631735801697,0.46052631735801697,114.0,114.0,16.0,0.4396288990974426,0.4396288990974426,0.8046874403953552,186715.953125,0.0,0.0
9,143,0.2678714990615845,0.26245832443237305,0.8891892433166504,0.8315120935440063,0.8315120935440063,370.0,370.0,16.0,1.0619138479232788,0.7955174446105957,0.3928571343421936,0.35076528787612915,0.35076528787612915,28.0,28.0,13.0,1.4456812143325806,2.2245869636535645,0.4285714626312256,0.4285714626312256,0.4285714626312256,7.0,7.0,5.0,0.6279156804084778,0.7006909251213074,0.700934648513794,0.6681807041168213,0.6681807041168213,107.0,107.0,16.0,0.4026421308517456,0.4026421904563904,0.8164063096046448,186715.921875,0.0,0.0
10,15,0.2213326096534729,0.21264997124671936,0.9222012758255005,0.8784536123275757,0.8784536123275757,527.0,527.0,22.0,0.7630331516265869,0.9093373417854309,0.6000001430511475,0.5520001649856567,0.5520001649856567,25.0,25.0,13.0,3.2916650772094727,2.8443870544433594,0.125,0.125,0.125,8.0,8.0,6.0,0.562514066696167,0.5947889685630798,0.7338129878044128,0.707416832447052,0.707416832447052,139.0,139.0,22.0,0.34370318055152893,0.34369224309921265,0.864091694355011,186715.9375,0.0,0.0
