global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,1.757117509841919,1.7909083366394043,0.20375335216522217,1.408299207687378,13.788776397705078,373.0,373.0,16.0,1.5984243154525757,1.38429594039917,0.31578949093818665,3.275911331176758,41.33199691772461,19.0,19.0,11.0,0.7122421264648438,0.7629857659339905,0.4545454680919647,0.4545454680919647,0.4545454680919647,11.0,11.0,8.0,1.2946571111679077,1.2645516395568848,0.29357796907424927,2.0476205348968506,21.708932876586914,109.0,109.0,16.0,1.6303266286849976,1.630326509475708,0.232421875,186715.90625,0.0,52530.3046875
2,31,1.6851773262023926,1.7377864122390747,0.19160105288028717,1.5364869832992554,15.366606712341309,381.0,381.0,16.0,1.2296974658966064,1.1531702280044556,0.375,2.0663928985595703,52.97504806518555,16.0,16.0,11.0,0.7772094011306763,0.8091208934783936,0.5,0.5,0.5,8.0,8.0,8.0,1.0635839700698853,1.1319713592529297,0.37383174896240234,1.8133314847946167,14.008021354675293,107.0,107.0,16.0,1.5268532037734985,1.5268532037734985,0.240234375,186715.90625,0.0,62568.98828125
3,47,1.7252143621444702,1.7251286506652832,0.21957671642303467,1.4157341718673706,16.36419677734375,378.0,378.0,16.0,1.1704976558685303,1.260146975517273,0.29411765933036804,2.7640621662139893,28.20293426513672,17.0,17.0,10.0,0.7150857448577881,0.7886009812355042,0.6666666865348816,10.56958293914795,220.79945373535156,3.0,3.0,3.0,1.0316752195358276,1.0816876888275146,0.38596490025520325,1.4009435176849365,19.301891326904297,114.0,114.0,16.0,1.5464565753936768,1.5464565753936768,0.26171875,186715.890625,0.0,41987.38671875
4,63,1.731477975845337,1.7084710597991943,0.22715406119823456,1.38691246509552,12.332237243652344,383.0,383.0,16.0,1.6108088493347168,1.5010936260223389,0.20000001788139343,4.377872467041016,34.27989196777344,20.0,20.0,12.0,0.6185716390609741,0.7189050316810608,0.6000000238418579,2.043992280960083,75.13858795166016,5.0,5.0,4.0,1.1724903583526611,1.1483567953109741,0.3461538553237915,1.2956137657165527,16.76145362854004,104.0,104.0,16.0,1.6023519039154053,1.6023516654968262,0.25390625,186715.90625,0.0,42460.4140625
5,79,1.822282314300537,1.828202724456787,0.2083333134651184,1.4438838958740234,9.23861026763916,360.0,360.0,16.0,1.4909465312957764,1.3914097547531128,0.3199999928474426,0.6895816922187805,15.288066864013672,25.0,25.0,13.0,0.6147508025169373,0.6900270581245422,0.625,2.2082228660583496,85.9683609008789,8.0,8.0,7.0,1.0667380094528198,1.0635770559310913,0.4285714328289032,1.5662750005722046,25.316200256347656,119.0,119.0,16.0,1.611631155014038,1.611631155014038,0.271484375,186715.890625,0.0,45887.87109375
6,95,1.9079086780548096,1.9240312576293945,0.142857164144516,1.608565092086792,10.499581336975098,378.0,378.0,16.0,1.576361894607544,1.4285798072814941,0.1818181872367859,4.889049053192139,45.60811996459961,22.0,22.0,11.0,0.5217787623405457,0.6276978850364685,0.6000000238418579,0.6000000238418579,0.6000000238418579,5.0,5.0,4.0,1.0707519054412842,1.08876371383667,0.4018692076206207,1.393886685371399,13.119114875793457,107.0,107.0,16.0,1.7051736116409302,1.705173373222351,0.2031250298023224,186715.90625,0.0,37304.2265625
7,111,1.988646149635315,1.9201501607894897,0.1562500149011612,1.1910985708236694,11.539937973022461,384.0,384.0,16.0,1.6283574104309082,1.5711262226104736,0.31578946113586426,3.107438564300537,18.040870666503906,19.0,19.0,12.0,1.0106909275054932,0.7745449542999268,0.25,0.25,0.25,4.0,4.0,4.0,1.2167209386825562,1.1022984981536865,0.3142857253551483,1.7498761415481567,20.36746597290039,105.0,105.0,16.0,1.809330940246582,1.809330940246582,0.1953125149011612,186715.875,0.0,32477.56640625
8,127,1.9497166872024536,1.912439227104187,0.17333336174488068,1.3366378545761108,10.437376022338867,375.0,375.0,16.0,1.3293125629425049,1.3883458375930786,0.25,0.25,0.25,20.0,20.0,11.0,0.31088951230049133,0.6871793866157532,1.0,7.884788513183594,330.2112731933594,2.0,2.0,2.0,0.9454282522201538,0.9614644646644592,0.48695653676986694,1.1995114088058472,12.523648262023926,115.0,115.0,16.0,1.6935081481933594,1.6935077905654907,0.25,186715.859375,0.0,26850.216796875
9,143,2.1873972415924072,2.150348663330078,0.12146890163421631,1.5966517925262451,9.26871395111084,354.0,354.0,16.0,1.5654021501541138,1.6364774703979492,0.2777777910232544,0.2777777910232544,0.2777777910232544,18.0,18.0,11.0,0.795963704586029,0.7177322506904602,0.5,0.5,0.5,8.0,8.0,7.0,0.8600401878356934,0.8991761207580566,0.5681818127632141,1.302318811416626,14.639908790588379,132.0,132.0,16.0,1.8015800714492798,1.8015799522399902,0.2480468600988388,186715.890625,0.0,27708.5
10,15,2.3814170360565186,2.3758959770202637,0.07920792698860168,0.8387410044670105,4.038660049438477,505.0,505.0,22.0,1.5902191400527954,1.6864962577819824,0.3214285969734192,1.6382999420166016,1.777962327003479,28.0,28.0,16.0,0.444793164730072,0.5732452869415283,0.6363636255264282,2.7748258113861084,65.38668823242188,11.0,11.0,9.0,0.7260618805885315,0.7590036392211914,0.6129032969474792,1.2099370956420898,10.46249771118164,155.0,155.0,22.0,1.951821208000183,1.9521803855895996,0.21602290868759155,186715.90625,0.0,24861.712890625
11,31,2.4524595737457275,2.3511440753936768,0.06094183772802353,0.9671857357025146,6.193536758422852,361.0,361.0,16.0,1.6328163146972656,1.7086105346679688,0.125,2.202324390411377,4.603352069854736,24.0,24.0,15.0,0.4997231066226959,0.5305311679840088,0.6000000238418579,0.6000000238418579,0.6000000238418579,5.0,5.0,5.0,0.8216262459754944,0.8011935949325562,0.5245900750160217,1.1882444620132446,12.723845481872559,122.0,122.0,16.0,2.00637149810791,2.0063719749450684,0.1796874701976776,186715.953125,0.0,17939.166015625
12,47,2.705937147140503,2.6563568115234375,0.044568244367837906,0.9823077321052551,3.8072543144226074,359.0,359.0,16.0,2.0081586837768555,1.9906864166259766,0.09090909361839294,1.883871078491211,5.166584491729736,22.0,22.0,13.0,0.28973478078842163,0.4516391158103943,1.0,2.6237897872924805,54.89513397216797,7.0,7.0,5.0,0.6504570841789246,0.6625397205352783,0.6048388481140137,1.452033281326294,12.294977188110352,124.0,124.0,16.0,2.145108938217163,2.145108938217163,0.1953125298023224,186716.03125,0.0,11814.291015625
13,63,2.7350003719329834,2.7224583625793457,0.04289543628692627,1.1619828939437866,3.8928632736206055,373.0,373.0,16.0,2.3070602416992188,2.1404292583465576,0.07692307978868484,0.07692307978868484,0.07692307978868484,13.0,13.0,9.0,0.27373334765434265,0.3415853977203369,0.8333333730697632,1.5551133155822754,42.76512145996094,6.0,6.0,5.0,0.5805209875106812,0.594343364238739,0.6750001311302185,1.1003462076187134,10.04396915435791,120.0,120.0,16.0,2.190335750579834,2.190335750579834,0.2011719048023224,186716.046875,0.0,8358.8642578125
14,79,3.255451202392578,3.1692206859588623,0.032967034727334976,1.1782851219177246,2.09529972076416,364.0,364.0,16.0,1.8718011379241943,1.9572081565856934,0.15000000596046448,0.15000000596046448,0.15000000596046448,20.0,20.0,12.0,0.2328285425901413,0.3397827446460724,0.8571429252624512,1.0280133485794067,17.522138595581055,7.0,7.0,4.0,0.47027313709259033,0.5190674662590027,0.7851239442825317,1.3244760036468506,10.305145263671875,121.0,121.0,16.0,2.501861572265625,2.501861572265625,0.2265625,186716.09375,0.0,7695.01953125
15,95,3.4960620403289795,3.418989419937134,0.0053050401620566845,1.1244018077850342,1.8747141361236572,377.0,377.0,16.0,2.634410858154297,2.4456300735473633,0.0,1.4870612621307373,21.715192794799805,23.0,23.0,13.0,0.18613126873970032,0.2859024107456207,1.0,1.0,1.0,4.0,4.0,4.0,0.4098263084888458,0.4007958173751831,0.805555522441864,1.064795970916748,7.1532063484191895,108.0,108.0,16.0,2.78049373626709,2.7804932594299316,0.181640625,186716.0625,0.0,6270.96728515625
16,111,3.865877389907837,3.818467140197754,0.010309278033673763,1.0658543109893799,1.301311731338501,388.0,388.0,16.0,2.8135156631469727,2.8950445652008057,0.0,1.7070434093475342,3.6129133701324463,17.0,17.0,11.0,0.06975720077753067,0.16473931074142456,1.0,1.0913739204406738,10.765297889709473,11.0,11.0,8.0,0.24978482723236084,0.261270672082901,0.9374999403953552,1.1598801612854004,7.765942096710205,96.0,96.0,16.0,3.0713608264923096,3.0713610649108887,0.2050781100988388,186716.09375,0.0,3635.056640625
17,127,4.4491987228393555,4.333171367645264,0.0,0.9864512085914612,1.0664544105529785,383.0,383.0,16.0,3.9170446395874023,3.6756391525268555,0.0,3.4169178009033203,16.53304100036621,18.0,18.0,9.0,0.03732981160283089,0.12013842910528183,1.0,0.8850920796394348,7.152810096740723,4.0,4.0,4.0,0.16884702444076538,0.1968868523836136,0.9813084006309509,1.1180278062820435,6.699923515319824,107.0,107.0,16.0,3.5014963150024414,3.501495838165283,0.212890625,186716.125,0.0,1342.525390625
18,143,4.9885640144348145,4.846728324890137,0.0,1.092179536819458,0.5385733842849731,387.0,387.0,16.0,4.491462707519531,4.276638031005859,0.0,1.3726892471313477,0.786392331123352,18.0,18.0,12.0,0.009255791082978249,0.09013854712247849,1.0,1.0,1.0,3.0,3.0,3.0,0.10132233798503876,0.11650227755308151,0.990384578704834,1.0835936069488525,5.108832836151123,104.0,104.0,16.0,3.9491920471191406,3.949191093444824,0.20703125,186716.140625,0.0,639.9989624023438
19,15,5.586873531341553,5.530314922332764,0.0,0.9075868725776672,0.386984646320343,522.0,522.0,22.0,5.424984455108643,5.19012451171875,0.0,2.426420211791992,0.12766973674297333,20.0,20.0,12.0,0.027478663250803947,0.06765975803136826,1.0,1.0,1.0,4.0,4.0,4.0,0.04901978746056557,0.05071841925382614,1.0,0.9932795763015747,1.6479538679122925,153.0,153.0,22.0,4.337012767791748,4.338279724121094,0.22460658848285675,186716.15625,0.0,320.2171630859375
20,31,6.36188268661499,6.181575298309326,0.0,1.240268349647522,0.1399005949497223,391.0,391.0,16.0,5.240562915802002,5.2711992263793945,0.05882353335618973,0.05882353335618973,0.05882353335618973,17.0,17.0,8.0,0.005178146529942751,0.03148163855075836,1.0,0.9062110185623169,1.2275437116622925,10.0,10.0,8.0,0.022564534097909927,0.024874495342373848,1.0,0.9915348291397095,2.5275492668151855,94.0,94.0,16.0,5.036637306213379,5.036637783050537,0.205078125,186716.125,0.0,152.9547882080078
21,47,7.029926776885986,6.879212856292725,0.0,1.1560885906219482,0.23771290481090546,375.0,375.0,16.0,7.2519211769104,6.839700698852539,0.0,0.0,0.0,17.0,17.0,13.0,0.002742984564974904,0.016469229012727737,1.0,1.0,1.0,9.0,9.0,7.0,0.007576244417577982,0.011192343197762966,1.0,0.9294582605361938,1.5574909448623657,111.0,111.0,16.0,5.391349792480469,5.3913493156433105,0.234375,186716.125,0.0,14.297286033630371
22,63,7.833092212677002,7.579265594482422,0.0,1.1461058855056763,0.04786325618624687,372.0,372.0,16.0,8.205931663513184,7.7277021408081055,0.0,4.315611839294434,0.08268456161022186,16.0,16.0,10.0,0.0027553418185561895,0.008792276494204998,1.0,1.0,1.0,8.0,8.0,8.0,0.006634830962866545,0.007732714060693979,1.0,0.9422187209129333,1.02830970287323,116.0,116.0,16.0,5.949213027954102,5.949212551116943,0.2421875,186716.1875,0.0,33.42903518676758
23,79,8.780131340026855,8.501912117004395,0.0,1.451621651649475,0.061523083597421646,362.0,362.0,16.0,8.7816801071167,8.379189491271973,0.0,0.8988775014877319,0.02148888073861599,32.0,32.0,15.0,0.00013767724158242345,0.0071479324251413345,1.0,1.0,1.0,2.0,2.0,2.0,0.0008460969547741115,0.0021784845739603043,1.0,0.958134114742279,1.0045762062072754,116.0,116.0,16.0,6.756875038146973,6.756874084472656,0.23046875,186716.21875,0.0,6.961845874786377
24,95,9.205096244812012,9.017844200134277,0.0,1.2633464336395264,0.01145870704203844,374.0,374.0,16.0,10.460002899169922,9.745609283447266,0.0,1.6056914329528809,0.025649236515164375,16.0,16.0,11.0,0.0001871276181191206,0.005246677435934544,1.0,1.0,1.0,5.0,5.0,3.0,0.00033608725061640143,0.0007166550494730473,1.0,0.9323011636734009,0.9537185430526733,117.0,117.0,16.0,7.050989151000977,7.050989151000977,0.23828125,186716.234375,0.0,7.094502925872803
25,111,9.226455688476562,9.205656051635742,0.0,1.3614839315414429,0.006934555247426033,366.0,366.0,16.0,9.191709518432617,9.610943794250488,0.0,0.0,0.0,15.0,15.0,10.0,0.0005126447649672627,0.003049645107239485,1.0,0.8387237191200256,1.0359636545181274,6.0,6.0,6.0,0.00023260613670572639,0.00029299588641151786,1.0,0.944221019744873,0.9516491889953613,125.0,125.0,16.0,6.864825248718262,6.86482572555542,0.255859375,186716.234375,0.0,7.048486232757568
26,127,8.847990036010742,8.921355247497559,0.0,1.2513275146484375,0.011965417303144932,349.0,349.0,16.0,9.315600395202637,9.51978588104248,0.0,2.0632247924804688,0.009116408415138721,24.0,24.0,13.0,0.0012776338262483478,0.002428413601592183,1.0,0.8001359701156616,0.8063761591911316,5.0,5.0,4.0,0.0004586973518598825,0.00040692934999242425,1.0,0.9480205774307251,0.9564962387084961,134.0,134.0,16.0,6.467950344085693,6.467950820922852,0.271484375,186716.25,0.0,6.64481782913208
27,143,8.40664291381836,8.535560607910156,0.0,1.0249433517456055,0.01189102791249752,378.0,378.0,16.0,9.96048355102539,9.681692123413086,0.0,1.7570921182632446,0.00254699750803411,27.0,27.0,14.0,0.0008896406507119536,0.001944019109942019,1.0,0.7503647804260254,0.7625046968460083,4.0,4.0,3.0,0.000549769145436585,0.0005193012184463441,1.0,0.9227338433265686,0.9356614947319031,103.0,103.0,16.0,6.731844902038574,6.731844425201416,0.208984375,186716.25,0.0,6.821544647216797
28,15,7.489320278167725,7.596853256225586,0.0,0.6738200783729553,0.022355493158102036,512.0,512.0,22.0,8.820146560668945,9.02464771270752,0.0,1.0807826519012451,0.03242412209510803,22.0,22.0,15.0,0.0024980183225125074,0.00235371314920485,1.0,1.0,1.0,9.0,9.0,8.0,0.0006808808539062738,0.0006898553110659122,1.0,0.930148720741272,0.948564887046814,156.0,156.0,22.0,5.759255886077881,5.763525009155273,0.2360515147447586,186716.3125,0.0,6.286208152770996
