global_step,step,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,avg_grad_norm_group:0,avg_hessian_norm_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,avg_grad_norm_group:1,avg_hessian_norm_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,avg_grad_norm_group:2,avg_hessian_norm_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,avg_grad_norm_group:3,avg_hessian_norm_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,hessian_aligned_loss
1,15,2.259978771209717,2.209059000015259,0.10164835304021835,1.6960151195526123,12.563928604125977,364.0,364.0,16.0,1.6293879747390747,1.3356260061264038,0.23076923191547394,3.6165578365325928,26.452335357666016,13.0,13.0,7.0,0.26495108008384705,0.35630929470062256,0.6666666865348816,0.6666666865348816,0.6666666865348816,3.0,3.0,2.0,0.26064586639404297,0.2848203778266907,0.9090909361839294,1.3585913181304932,18.536842346191406,132.0,132.0,16.0,1.716825246810913,1.716825008392334,0.31640625,186715.96875,0.0,-98093.6171875
2,31,2.254127025604248,2.230801582336426,0.13698631525039673,1.671918511390686,12.757959365844727,365.0,365.0,16.0,2.446108818054199,2.3401801586151123,0.1111111044883728,1.8712310791015625,1.2144510746002197,27.0,27.0,13.0,0.3058290183544159,0.3079826533794403,0.7142857313156128,0.7949326634407043,13.332244873046875,7.0,7.0,6.0,0.389987975358963,0.38470107316970825,0.8318583965301514,1.0525977611541748,10.55082893371582,113.0,113.0,16.0,1.826192855834961,1.826192855834961,0.296875,186715.953125,0.0,-145808.21875
3,47,2.1322150230407715,2.156057596206665,0.15934067964553833,1.476085901260376,9.418142318725586,364.0,364.0,16.0,1.9267292022705078,2.2996573448181152,0.24000002443790436,2.137525796890259,2.309457302093506,25.0,25.0,14.0,0.3240220546722412,0.29703956842422485,0.875,0.875,0.875,8.0,8.0,7.0,0.2792874276638031,0.29110345244407654,0.9217391014099121,1.6363699436187744,18.62481689453125,115.0,115.0,16.0,1.6777435541152954,1.677743673324585,0.345703125,186715.953125,0.0,-168907.078125
4,63,2.109410047531128,2.113725423812866,0.1528497338294983,1.9552193880081177,17.967756271362305,386.0,386.0,16.0,2.3539133071899414,2.4228837490081787,0.13333335518836975,0.13333335518836975,0.13333335518836975,15.0,15.0,10.0,0.37625110149383545,0.3078095018863678,0.8999999761581421,0.8999999761581421,0.8999999761581421,10.0,10.0,7.0,0.30313968658447266,0.3455416262149811,0.881188154220581,0.9863637685775757,8.042826652526855,101.0,101.0,16.0,1.726407527923584,1.726407527923584,0.310546875,186715.953125,0.0,-133570.203125
5,79,1.9451392889022827,1.9442561864852905,0.1994459629058838,1.8146947622299194,17.128755569458008,361.0,361.0,16.0,2.0697855949401855,2.2708163261413574,0.15000000596046448,3.413888454437256,39.448204040527344,20.0,20.0,13.0,0.18849614262580872,0.2673799395561218,1.0,1.0,1.0,4.0,4.0,4.0,0.36731046438217163,0.3546226918697357,0.8346456289291382,1.1184263229370117,13.094709396362305,127.0,127.0,16.0,1.544909119606018,1.5449090003967285,0.3613280951976776,186715.953125,0.0,-158440.5625
6,95,1.7683409452438354,1.8332093954086304,0.2442748099565506,1.7343664169311523,14.85220718383789,393.0,393.0,16.0,1.1215096712112427,1.4854457378387451,0.3333333134651184,2.5966224670410156,49.58539581298828,21.0,21.0,11.0,0.603007972240448,0.36027246713638306,0.8333333730697632,0.8333333730697632,0.8333333730697632,6.0,6.0,5.0,0.46190959215164185,0.40941813588142395,0.7934783697128296,1.6292033195495605,21.48798370361328,92.0,92.0,16.0,1.4934053421020508,1.4934051036834717,0.353515625,186715.9375,0.0,-291892.125
7,111,1.419102430343628,1.4981342554092407,0.3141361474990845,1.4864823818206787,15.499739646911621,382.0,382.0,16.0,1.327368140220642,1.2937697172164917,0.2631579041481018,2.5915887355804443,13.207193374633789,19.0,19.0,13.0,0.7034807205200195,0.5657486915588379,0.5,4.842488765716553,135.91029357910156,6.0,6.0,5.0,0.6531446576118469,0.5490449666976929,0.6571428775787354,1.3749229907989502,20.950050354003906,105.0,105.0,16.0,1.2502310276031494,1.2502307891845703,0.384765625,186715.953125,0.0,-261244.515625
8,127,1.2468531131744385,1.314715027809143,0.4005235433578491,1.341832160949707,12.795780181884766,382.0,382.0,16.0,1.7934613227844238,1.6095750331878662,0.0625,3.0483202934265137,14.108336448669434,16.0,16.0,8.0,1.5461393594741821,0.9215620160102844,0.40000003576278687,0.40000003576278687,0.40000003576278687,5.0,5.0,4.0,0.7311983704566956,0.651070237159729,0.6238532662391663,1.5343518257141113,26.91901206970215,109.0,109.0,16.0,1.1570792198181152,1.1570792198181152,0.4375,186715.921875,0.0,-209262.78125
9,143,0.8810599446296692,0.9647226929664612,0.5698924660682678,1.5901532173156738,21.872438430786133,372.0,372.0,16.0,1.1705392599105835,1.2992945909500122,0.45454543828964233,0.45454543828964233,0.45454543828964233,22.0,22.0,13.0,0.595086932182312,0.7938385009765625,0.6000000238418579,0.6000000238418579,0.6000000238418579,5.0,5.0,5.0,0.8704864978790283,0.8246344327926636,0.4867256283760071,2.2735774517059326,24.419742584228516,113.0,113.0,16.0,0.8883721232414246,0.8883721828460693,0.546875,186715.921875,0.0,-359262.28125
10,15,0.7113324403762817,0.7467592358589172,0.6465862393379211,1.3073328733444214,14.958269119262695,498.0,498.0,22.0,0.6282756328582764,0.6721256971359253,0.6896551847457886,2.1185057163238525,34.97003173828125,29.0,29.0,15.0,0.9049460887908936,0.8369686007499695,0.4285714626312256,0.4285714626312256,0.4285714626312256,7.0,7.0,7.0,1.3225709199905396,1.2367280721664429,0.3454545736312866,1.1810059547424316,12.529546737670898,165.0,165.0,22.0,0.8548918962478638,0.8541092276573181,0.575107216835022,186715.921875,0.0,-269968.1875
