dataset,grad_alpha,hess_beta,worst_case_acc_train,worst_case_group_train,worst_case_acc_val,worst_case_group_val,worst_case_gap
waterbirds,1e+00,0e+00,0.92592591047287,1,0.7969924211502075,2,-0.12893348932266246
waterbirds,1e+00,1e-08,0.8888888955116272,1,0.8195489645004272,2,-0.06933993101119995
waterbirds,1e+00,1e-06,0.92592591047287,1,0.8496240377426147,2,-0.07630187273025524
waterbirds,1e+00,1e-04,0.92592591047287,1,0.7894736528396606,2,-0.13645225763320934
waterbirds,1e+00,1e-02,0.92592591047287,1,0.8045113682746887,2,-0.12141454219818126
waterbirds,1e+00,1e+00,0.92592591047287,1,0.646616518497467,2,-0.27930939197540294
waterbirds,1e-02,0e+00,0.8888888955116272,1,0.8120301365852356,2,-0.0768587589263916
waterbirds,1e-02,1e-08,0.92592591047287,1,0.8496241569519043,2,-0.07630175352096569
waterbirds,1e-02,1e-06,0.8518518209457397,1,0.8496240377426147,2,-0.002227783203125
waterbirds,1e-02,1e-04,0.8888888955116272,1,0.864661693572998,2,-0.02422720193862915
waterbirds,1e-02,1e-02,0.92592591047287,1,0.7819548845291138,2,-0.14397102594375621
waterbirds,1e-02,1e+00,0.8888888359069824,1,0.6842105388641357,2,-0.20467829704284668
waterbirds,1e-04,0e+00,0.8888888359069824,1,0.7969925403594971,2,-0.09189629554748535
waterbirds,1e-04,1e-08,0.8888888955116272,1,0.8270676732063293,2,-0.06182122230529785
waterbirds,1e-04,1e-06,0.8888888955116272,1,0.8195489048957825,2,-0.06933999061584473
waterbirds,1e-04,1e-04,0.92592591047287,1,0.8421053290367126,2,-0.08382058143615734
waterbirds,1e-04,1e-02,0.8888888955116272,1,0.781954824924469,2,-0.1069340705871582
waterbirds,1e-04,1e+00,0.8888888359069824,1,0.7142857909202576,2,-0.17460304498672485
waterbirds,1e-06,0e+00,0.92592591047287,1,0.8195489048957825,2,-0.10637700557708751
waterbirds,1e-06,1e-08,0.8888888955116272,1,0.7744361162185669,2,-0.1144527792930603
waterbirds,1e-06,1e-06,0.8888888955116272,1,0.7969925403594971,2,-0.09189635515213013
waterbirds,1e-06,1e-04,0.8888888955116272,1,0.8571429252624512,2,-0.031745970249176025
waterbirds,1e-06,1e-02,0.8888888955116272,1,0.804511308670044,2,-0.08437758684158325
waterbirds,1e-06,1e+00,0.8888888359069824,1,0.7443609237670898,2,-0.14452791213989258
waterbirds,1e-08,0e+00,0.8888888955116272,1,0.8120301365852356,2,-0.0768587589263916
waterbirds,1e-08,1e-08,0.92592591047287,1,0.7819548845291138,2,-0.14397102594375621
waterbirds,1e-08,1e-06,0.92592591047287,1,0.7819549441337585,2,-0.14397096633911144
waterbirds,1e-08,1e-04,0.8888888955116272,1,0.8496240377426147,2,-0.03926485776901245
waterbirds,1e-08,1e-02,0.8518518209457397,1,0.8045111894607544,2,-0.04734063148498535
waterbirds,1e-08,1e+00,0.8518518209457397,1,0.699248194694519,2,-0.1526036262512207
waterbirds,0e+00,0e+00,0.8888888955116272,1,0.7969924807548523,2,-0.0918964147567749
waterbirds,0e+00,1e-08,0.8888888955116272,1,0.7819549441337585,2,-0.10693395137786865
waterbirds,0e+00,1e-06,0.8888888955116272,1,0.8045113682746887,2,-0.08437752723693848
waterbirds,0e+00,1e-04,0.8518518209457397,1,0.857142984867096,2,0.005291163921356201
waterbirds,0e+00,1e-02,0.8518518209457397,1,0.76691734790802,2,-0.08493447303771973
waterbirds,0e+00,1e+00,0.8888888955116272,1,0.6541352868080139,2,-0.23475360870361328
